"NomVariable","Label"
"afwork_f","Away from work during last month - Flag"
"empstat1_f","Employee or self-employed first job - Flag"
"mtoj_f","More than one job - Flag"
"empstat2_f","Employee or self-employed second job - Flag"
"rhfo_f","Received help from others (how many) - Flag"
"ghto_f","Given help to others (how many) - Flag"
"ghih_f","Given help in the household (how many) - Flag"
"rhih_f","Received help in the household (how many) - Flag"
"otrf_f","Owner, tenant or rent free - Flag"
"fdistress_f","Household able to make ends meet - Flag"
"nalm_f","Number of activities last month - Flag"
"tppdi_f","Third persons present during the interview - Flag"
"willans_f","Willingness to answer - Flag"
"clarif_f","Respondent asked for clarifications - Flag"
"undersq_f","Respondent understood questions - Flag"
"hnrsc_f","Help needed to read showcards â€“ Flag"
"currency","currency"
"nomx2003","Nominal exchange rate (national currency/Euro), annual average, 2003"
"nomx2004","Nominal exchange rate (national currency/Euro), annual average, 2004"
"nomx2005","Nominal exchange rate (national currency/Euro), annual average, 2005"
"pppc2003","Current PPP exchange rate (national currency/Euro), 2003"
"pppc2004","Current PPP exchange rate (national currency/Euro), 2004"
"pppc2005","Current PPP exchange rate (national currency/Euro), 2005"
"pppk2003","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2003"
"pppk2004","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2004"
"pppk2005","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2005"
