"NomVariable","Label"
"ilq54","Conditions in nazi/pro-nazi regime: joined the underground"
"ilq55","Conditions in nazi/pro-nazi regime: escaped from authorities"
"ilq56","Conditions in nazi/pro-nazi regime: fled to area free of nazi-control"
"ilq57","Conditions in nazi/pro-nazi regime: had a resident permit"
"ilq58","Did your parents reside in nazi/pro-nazi regime during wwII"
"ilq59","Were parents killed by nazi/pro-nazi regime/died as result of it"
"ilq60","Agree with a delay in age of eligibility for receipt of pension benefits"
"ilq61","Employers will fire older workers and hire younger workers in their place"
"ilq62","Young people will have fewer places of work available"
"ilq63","Older workers will lack the stamina to work until the new retirement age"
"ilq64","Extending work until new retirem. age will improve health of older workers"
"ilq65","Extending work hours until new retirem. age will increase interest of older work"
"ilq66","Extending work until new retirem. age will decrease older workers leisure time"
"ilq67","Women: younger than 64/men: younger than 67"
"ilq68","Current employment status"
"ilq69","Interested in working until the new retirement age"
"ilq70","Age planning to retire"
"ilq72","Will retire at different time than planned as result of new retirement age"
"ilq73","Aware change in retir. age may reduce occupational pension allotments"
"ilq74","Interested in retiring earlier even if pension will be reduced as result"
"ilq75","Chances to continue working until the new retirement age"
"ilq76","Chances your employer will continue to employ you until new retirement age"
"ilq77","Source of add. support: national insurance allotment (yours/other hh-member)"
"ilq78","Source of add. support: pension/other payments from abroad"
"ilq79","Source of add. support: savings"
"ilq80","Source of add. support: profits from property/investments"
"ilq81","Source of add. support: income from working members of hh"
"ilq82","Source of add. support: spouse's occupational pension"
"ilq83","Source of add. support: loans"
"ilq84","Source of add. support: other sources"
"ilq87","Been wounded in war/military action"
"ilq88","How old when first wounded in war/ilitary action"
"ilq89","Effect on life: been wounded in war/military action"
"ilq90","Witnessed serious injury/death of someone in war/military action"
"ilq91","How old when first witnessed serious injury/death of someone in war/military act"
"ilq92","Effect on life: witnessing serious injury/death of someone in war/military actio"
"ilq93","Lost close friend/relative in war/military service"
"ilq94","How old when first lost close friend/relative in war/military service"
"ilq95","Effect on life: losing a close friend/relative in war/military service"
"ilq96","Been wounded in a terrorist act (an attack by terrorists against civilians)"
"ilq97","How old when first wounded in a terrorist act"
"ilq98","Effect on life: been wounded in a terrorist act"
"ilq99","Witnessed a terrorist act in which you yourself were not harmed"
"ilq100","How old when first witnessed a terrorist act"
"ilq101","Effect on life: witnessing a terrorist act"
"ilq102","Experienced the injury/death of a close friend/relative in a terrorist act"
"ilq103","How old when first experienced injury/death of a close friend/relative in a terr"
"ilq104","Effect on life: experiencing injury/death of a close friend/relative in a terror"
"ilq105","Been at risk of death due to illness/serious accident"
"ilq106","How old when first been at rist of death due to illness/serious accident"
"ilq107","Effect on life: been at rist of death due to illness/serious accident"
"ilq108","Had a close friend/relative at risk of death due to illness/serious accident"
"ilq109","How old when first had a close friend/relative at risk of death due to illness/s"
"ilq110","Effect on life: had a close friend/relative at risk of death due to illness/seri"
"ilq111","Experienced the death of a spouse"
"ilq112","How old when first experienced the death of a spouse"
"ilq113","Effect on life: experiencing the death of a spouse"
